Comuna;Cadena;Cantidad de locales;Total Reviews;Promedio Rating
Santiago;Papa Jhon´s;6;50.064;4.3
Santiago;Melt Pizza;2;40.580;4.4
Santiago;Little Caesars;2;9.204;4.5
Santiago;Dominos Pizza;2;8.075;3.1
Santiago;Telepizza;3;6.371;4.0
Santiago;Pizzapizza;2;1711;4.6
Santiago;Pizza hut;6;9.379;3.2
Santiago;Lovdo;1;4.091;4.1
Santiago;Milano´s pizza;4;6.012;4.5
Maipú;Papa Jhon´s;6;36.614;4.6
Maipú;Melt Pizza;3;25.546;4.6
Maipú;Little Caesars;3;39.693;4.4
Maipú;Dominos Pizza;2;5.516;3.5
Maipú;Telepizza;4;11.153;4.2
Maipú;Pizzapizza;2;1520;3.7
Maipú;Pizza hut;9;19.978;3.3
Puente Alto;Papa Jhon´s;4;28.687;4.4
Puente Alto;Melt Pizza;3;29.524;4.6
Puente Alto;Little Caesars;4;20.630;4.6
Puente Alto;Dominos Pizza;1;2.009;3.6
Puente Alto;Telepizza;5;4.400;4.2
Puente Alto;Pizzapizza;1;916;3.7
Puente Alto;Pizza hut;2;10.369;4.3
Puente Alto;Lovdo;2;1.525;3.9
Las Condes;Papa Jhon´s;9;34.515;4.2
Las Condes;Melt Pizza;3;20.386;4.4
Las Condes;Little Caesars;5;16.414;4.2
Las Condes;Dominos Pizza;2;4.544;3.9
Las Condes;Waldo´s;1;278;4.8
Las Condes;Pizzapizza;5;2208;1.1
Las Condes;Pizza hut;7;6.857;4.0
Las Condes;Lovdo;1;33;3.6
La Florida ;Papa Jhon´s;6;37.509;4.3
La Florida ;Melt Pizza;1;15.251;4.6
La Florida ;Little Caesars;2;13.772;4.4
La Florida ;Dominos Pizza;2;5.018;3.0
La Florida ;Telepizza;3;1.145;3.9
La Florida ;Pizzapizza;1;708;3.9
La Florida ;Pizza hut;2;4.202;4.4
La Florida ;Lovdo;2;1.011;3.8
Ñuñoa;Papa Jhon´s;5;28.635;4.0
Ñuñoa;Melt Pizza;1;10.183;4.3
Ñuñoa;Little Caesars;2;20.828;4.4
Ñuñoa;Dominos Pizza;2;8.082;3.2
Ñuñoa;Telepizza;1;754;4.2
Ñuñoa;Pizzapizza;1;1.006;2.7
Ñuñoa;Pizza hut;1;6.197;4.2
Providencia;Papa Jhon´s;2;16.371;4.3
Providencia;Melt Pizza;1;10.142;4.5
Providencia;Little Caesars;2;30.744;4.4
Providencia;Dominos Pizza;3;7.077;3.3
Providencia;Telepizza;1;2.175;3.8
Providencia;Pizzapizza;1;440;0.0
Providencia;Pizza hut;3;3.684;3.9
Estación Central;Papa Jhon´s;3;26.765;4.5
Estación Central;Little Caesars;2;31.736;4.5
Estación Central;Dominos Pizza;1;6.007;3.2
Estación Central;Telepizza;5;2.182;3.9
Estación Central;Milano´s pizza;1;613;4.4
Estación Central;Pizza hut;4;3.709;4.2
San Miguel;Papa Jhon´s;3;25.413;4.4
San Miguel;Melt Pizza;1;25.200;4.5
San Miguel;Dominos Pizza;1;1.508;2.9
San Miguel;Lovdo;1;1.041;4.1
San Miguel;Telepizza;2;6.238;4.2
San Miguel;Pizzapizza;1;904;2.8
San Miguel;Pizza hut;1;3.097;3.6
La Cisterna;Papa Jhon´s;1;15.160;4.5
La Cisterna;Melt Pizza;1;7.251;4.5
La Cisterna;Little Caesars;2;21.655;4.5
La Cisterna;Telepizza;1;3.249;4.3
La Cisterna;Pizzapizza;1;437;4.4
La Cisterna;Pizza hut;1;7.210;4.4
Peñalolén;Papa Jhon´s;2;15.096;4.2
Peñalolén;Melt Pizza;1;10.179;4.2
Peñalolén;Little Caesars;1;10.466;4.5
Peñalolén;Dominos Pizza;1;2.005;3.3
Peñalolén;Telepizza;2;3.289;4.3
Peñalolén;Pizzapizza;1;807;4.1
Peñalolén;Pizza hut;2;5.740;4.2
Huechuraba;Papa Jhon´s;1;7.067;4.0
Huechuraba;Melt Pizza;1;15.144;4.5
Huechuraba;Little Caesars;1;10.540;4.5
Huechuraba;Dominos Pizza;1;3.004;4.2
Huechuraba;Telepizza;1;600;4.1
Huechuraba;Pizzapizza;1;602;5.0
Huechuraba;Lovdo;1;1.516;4.1
Huechuraba;Pizza hut;1;4.136;4.1
La Reina;Papa Jhon´s;2;9.205;4.1
La Reina;Melt Pizza;3;22.416;4.3
La Reina;Little Caesars;1;2.091;4.2
La Reina;Dominos Pizza;1;1.502;4.6
La Reina;Pizzapizza;1;501;4.8
La Reina;Lovdo;1;1.014;4.3
Lo Barnechea;Papa Jhon´s;2;10.045;4.7
Lo Barnechea;Melt Pizza;2;11.414;4.4
Lo Barnechea;Little Caesars;1;8.277;4.4
Lo Barnechea;Pizzapizza;1;1.004;3.7
San Joaquín;Papa Jhon´s;1;10.171;4.1
San Joaquín;Little Caesars;1;20.587;4.3
Macul;Papa Jhon´s;1;8.212;4.1
Macul;Melt Pizza;1;15.251;4.3
Macul;Dominos Pizza;1;3.005;4.2
Macul;Telepizza;1;3.174;3.9
Macul;Pizzapizza;1;706;4.9
Macul;Milano´s pizza;1;338;4.5
Recoleta;Papa Jhon´s;4;17.305;3.4
Recoleta;Melt Pizza;1;10.159;4.4
Recoleta;Dominos Pizza;1;3.006;4.2
Recoleta;Telepizza;1;72;4.5
Vitacura;Papa Jhon´s;2;7.099;4.4
Vitacura;Melt Pizza;1;10.131;4.3
Vitacura;Dominos Pizza;1;1.503;2.7
Vitacura;Milano´s pizza;1;267;4.6
Vitacura;Pizza hut;1;21;3.2
Vitacura;Little Caesars;2;9.281;4.4
Lo Prado;Papa Jhon´s;1;20.282;4.4
Lo Prado;Pizzapizza;1;1.008;4.2
Quilicura;Papa Jhon´s;2;10.488;4.1
Quilicura;Dominos Pizza;1;2.019;3.8
Quilicura;Melt Pizza;1;5.208;4.6
Quilicura;Pizzapizza;1;514;4.1
Quilicura;Telepizza;1;926;4.1
Quilicura;Pizza hut;1;4.195;4.3
Pudahuel;Papa Jhon´s;2;20.420;4.6
Pudahuel;Little Caesars;1;500;4.6
Independencia;Papa Jhon´s;1;10.242;4.4
Independencia;Little Caesars;1;7.618;4.5
Independencia;Pizzapizza;1;1.006;4.1
Cerrillos;Papa Jhon´s;1;10.000;4.6
Cerrillos;Pizzapizza;1;455;4.2
Cerrillos;Pizza hut;1;3.069;4.1
Cerrillos;Lovdo;1;1.514;4.2
San Bernardo;Papa Jhon´s;3;9.229;4.2
San Bernardo;Pizza hut;2;857;4.2
Colina;Papa Jhon´s;4;1448;3.4
Colina;Dominos Pizza;2;294;3.3
Colina;Little Caesars;1;739;4.4
Colina;Melt Pizza;1;759;4.5
San Ramón;Telepizza;1;2.085;4.2
La Granja;Telepizza;1;1.512;4.3
Lampa;Papa Jhon´s;1;258;4.5
Lampa;Little Caesars;1;792;4.5
El Bosque;Papa Jhon´s;1;847;4.3
El Bosque;Telepizza;4;73;4.5
Melipilla;Papa Jhon´s;1;245;4.6
Melipilla;Little Caesars;1;581;4.6
Melipilla;Pizza hut;1;122;3.9
Buin;Papa Jhon´s;2;155;4.6
Buin;Dominos Pizza;1;9;3.4
Buin;Melt Pizza;1;136;4.6
Renca;Papa Jhon´s;2;273;3.7
Peñaflor;Papa Jhon´s;1;276;4.6
Padre Hurtado;Papa Jhon´s;1;265;4.3
Cerro Navia;Telepizza;1;256;4.3
La Pintana;Papa Jhon´s;1;104;4.5
Talagante;Telepizza;1;90;4.7
